Titolo,Review,X,0,1,2,3,4,5,6,7,8,9
Bardbarian,A moving tower defense game. A good amount of different units to choose from and with very nice music to go along.,x,1,0,0,0,0,0,0,0,0,0
BattleBlock Theater,Good game! Good music! Good humor! Evryone is GOOD :D :D :D :D  BUY IT ITS AWESOME! :D,x,2,0,0,0,0,0,0,0,0,0
Battlefield: Bad Company™ 2,"This game is amazing.  I felt like I was in some real war when I was playing multiplayer. (Which is still very alive on this game!!)  My only question is: Why are they not making Battlefield games like this anymore?  EA's a Bad Company, 10/10.",x,0,0,0,0,0,3,0,0,0,0
Bejeweled 3,"Good for both blowing off steam during downtime and trying to challenge yourself. I love the different modes available. They have the Zen mode! AND Zen mode allows you to change the music to relaxing noises like various nature ambiances. You can even use binaural (sp?) beats, provided that you have headphones. I haven't tried that yet.  I'm not a fan of the timed challenges, so I'm glad that they are balanced out by move limitations. Butterflies is a nice touch. Relaxing with a cute feel. Having a quest line was interesting, and provided variety. Poker is kinda fun.  Originally got it as a WildTangent demo, but didn't want to deal with the whole WildCoin stuff. My laptop forced me into Windows 8. Since it links with my Live account, I figured I'd spend the $5 there, but was disappointed to find out that it was only the partial game. Civ 5 forced me into Steam. One thing led to another, and I caught this at the beginning of a sale. Definitely happy to have the full game back.",x,2,0,0,0,0,0,0,3,0,0
BioShock Remastered,"  I'l be honest when I say this, I had NO issues with the game at all, well almost. The game didn't crash, no saves got deleted, but at times the framerate in certain areas would get destroyed and drop heavily and there were some graphical issues.  I also changed the keybindings and the game thought I was using a gamepad/controller.    For a Remaster, this is lacking a bit in certain areas. The graphics are better, that's for sure but that's it.  If I had no issues with the game then why am I giving it a negative review?  Here's why: I'l say i'm in the minority or one of the lucky ones that didn't have any issues with the game but there's a lot of other people that DID and still do have major game breaking issues with this 'remaster'. Most people do let's just say.  I'm not some 12 year old kid that bends over to big companies and let's them do whatever they want.  It's a lazy bad PC port, plain and simple and it needs to be fixed. Even if I didn't have issues, that doesn't mean others didn't either.   In short: One of the lucky ones that was able to play trough the game without getting screwed over but acknowledges the issues and the fact that this is just a lazy port and needs to get fixed.   Also, to all the kids saying 'YOU GOT IT FOR FREE NO RIGHT TO COMPLAIN' just stop.  Just because it's free, doesn't mean it's perfect and you can't complain about it. And technically, it isn't free because most people payed for it years ago.  So get out of here with that nonsense.",x,0,0,0,0,0,0,0,0,0,0
Blameless,"Graphic sucks. Flashlight glitch. No alternative endings and the ending sucks also. Horor scale 1 The game is too short where you only have to exit the building. (first run 15 min) Objects are being picked but you don't have hands so they just float in mid air. A work bench excited me thinking i must craft things and so on but the only use was for the hook to open the attic, than the room was locked. Voice actor is bad, cinematics are okay. The psycho turns into thin air when cop car comes. (look behind you) The motion and clunkiness made me dizzy so it's good that the game was short.  Not recomended.",x,0,0,0,0,0,0,0,0,0,0
Call of Duty 4: Modern Warfare,brougth the game on offer at£9.99 not a bad price for a * single player * game as my multiplayer wouldnt work at all kept cutting off before the game actually starting irw error,x,0,0,0,0,0,3,0,0,0,0
Call of Duty: Black Ops II,"Warning Nvidia buyers do not purchase this game, multiplayer is not compatible with most gpu's. I have just purchased a Gtx 770 Asus 2gb today and it does not work on multiplayer, the frames are jittery and it says I get 100+ fps although it feels like im getting 5 gps, every other intensive game I have tried works fine and even Bo2 single player works great.. Really dissapointing..",x,0,0,0,0,0,3,0,0,0,0
Call of Duty: Black Ops II,"If you're one of the many people in this world that refers to random people as 'Bro' Have I got the game for you. Just buy it, hell, you probably can't read this, but see the word bro and instantly bought it.   Now if you're normal.   This game is mediocre, the story is rehashed and filled with plotholes, no new game play. Annoying senarios that will leave you dead at check points, ect. If you're buying it for multiplayer, you should know it's exactly the same as older CoD games, but with new maps and a few new modifications.  Call of duty needs to take a break and think out a story, new gameplay ideas, and multiplayer maps/mods.  Black ops is 5/10 max.",x,0,0,0,0,0,3,0,0,0,0
Call of Duty: Black Ops III,"Ignore my 180+ hours in this game.  DO NOT. I REPEAT, DO NOT, BUY THIS GAME. This game for me was fun until more and more and more and more absolute ♥♥♥♥♥♥♥t was forcefed into our mouths in this game. Apparently a  shotgun  an allegedly 'powerful cqc weapon' requires you to shoot an enemy in the chest at least 3 times before it kills them. the same for a ♥♥♥♥♥ headshot as well. Then someone can easily run along as happy as can be, with a pistol and 1 shot headshot you from halfway across the map. WTF?! Since when did COD, one of the greatest gaming series in history ever become so much ♥♥♥♥♥♥♥t to play. Honest to God, I beg of you, DO NOT BUY THIS GAME. The community is basically half dead as it is for the PC version of this game as you end up playing against or with the same people over and over again even when trying to find a different game. When searching for a different game to join, there are only ever 5 or less available servers that you can connect to. THIS GAME IS DEAD AND HAS KILLED THE COD FRANCHISE EVEN MORE THAN ADVANCED WAFARE.",x,0,0,0,0,0,0,0,0,0,0
Call of Duty: World at War,"The story mode can be summarized with 'Run that way, kill those dudes, and capture the objective.' The multiplayer is typical post-Call of Duty 4 mechanics. But, come on, we all know that at this point, you're not buying this game for the story or the multiplayer. You're buying it for the Nazi Zombies. And fortunately, they're all here. Through the grace of Gaben, all the DLC is included with your game with no extra purchases required. You get all four zombie maps included and ready to play. And all the multiplayer maps too, if that's what you're into. Somehow, though, the multiplayer is still pretty smooth, with hackers being all but absent from play.  I give this game 5/5 free map packs for being functional, having a mode of play that's still likable almost six years later, and for existing before the Call of Duty franchise became synonymous with 'repetitive'.",x,0,1,0,0,0,3,0,0,0,0
Chaser,"I would say a good game. Graphics for the release date is not the best, but storyline is good. Reminds me of Red Faction with and I don't know why, but fragments of Metal Gear Solid in some missions when you 'don't have to shoot anything that moves'. For people who are looking for old time FPS with a story its a good choice for this price.",x,0,0,0,0,0,0,0,0,0,0
Crusader Kings II,"If you have a brain you will enjoy this beautiful game.. BOOM. End, if you do not have this game then go back to COD.",x,0,0,0,0,0,0,0,0,0,0
Cry of Fear,"Interesting game, it's definately taken some inspiration from the old school horror games such as silent hill and alone in the dark, and the best part is, IT'S FREE! so turn off the lights, make sure it's late, grab your gaming headphones, and play some cry of fear... ♥♥♥♥♥!",x,0,3,0,3,0,0,0,0,0,0
DARK SOULS™ III,Souls series is sooo good. If you've played the others you know this too. Now that I beat the game I'm running again with a new challenge for myself where i stay embered the whole time to let the invasions drive me insane lol I'm not big on pvp that much so it's quite the challenge for me and I encourage others to try this (if you run out of embers you have to help ppl kill bosses for more). It's a whole new game if you have spent the whole series trying to avoid invasions,x,0,0,2,0,0,1,0,2,0,0
Dirty Bomb,One of the best free to play MMOFPS games there are and the special thing about it is that its not pay to win since many of the weaponry are not overpowered than the other.  Another thing to point out is that its best if you want to play with your fellow friends and you need to be quick with your mouse to play. (Suggestion: bump up the mouse sensitivity a bit beforehand).  This gets a 9/10 from me.,x,0,0,0,3,0,3,0,0,0,0
Dominions 4,"Ok if you have not tried this game from an independent developer, try it. This is the closest thing to a worthy heir to Master of Magic there is so far. It is a hard game, but once you learn the game it is fun and challenging. The interface is clunky as hell but it is workable. The one big pain it the worthless net-code that has problems passing most gateways like cable/asdl/cellphone modems. Once you look past that this is actually a great game.",x,0,0,0,0,0,0,0,3,0,0
Don't Starve,"More than just a good game, this is a neat survival simulation.  +sense of despair through the art, music, etc. +randomly generated quality terrain +many,many things to do +best dlc ive ever seen.  ~hard, but that could be a good thing.  9/10",x,0,0,0,0,0,0,0,2,0,0
Dota 2,"Have been playing DotA for a long time, however, I feel like the game is not satisfying anymore. Valve is trying to get every cent out of you, and the 'Free to Play' game is suddenly experiencing a phase where the events are no longer that exciting to play as they are pay to win. Nonetheless, the core game is still free to play so perhaps I will come back to it later.   GIVE DIRETIDE and FROSTIVUS back!!!",x,0,0,0,2,0,0,0,0,0,0
DreadOut,"I very much enjoyed playing Dreadout. Once you get past it's slightly outdated graphics, what you'll find is a horror experience worthy of being considered alongside the 'horror greats' such as Project Zero/Fatal Frame and Silent Hill 2/3.  My main concern was the length of Part One. Didn't take me very long at all to complete, could probably speed run it in about 40 mins or so. I'm just hoping Part 2 is so much longer, because we have something good here, and as horror fans we owe it to ourselves to experience frights like this game on a much more regular basis!  7/10- May go up once Part 2 is released!!",x,0,3,0,0,0,0,0,0,0,0
Dungeon Nightmares II : The Memory,"This game is the scariest game I've played so far. I'm a youtuber that plays mostly horror (or at keast I try and stick with mostly that genre) and I don't regret buying this game one bit. I highly recommend this game to anyone who likes jumpscares, the thrill of feeling watched and being chased defencless, and also a puzzle/maze game. I'd say don't play in the dark but thats the best time to play it. If its light out, you can barely see anything.",x,0,3,0,0,0,0,0,0,0,0
Dying Light,so what to say about dying light? do i recomend it? simply yes is the game good? hell yes should you buy it? wait u dont have it yet? got get it now........ now seriously game is great nice story the several kind of zombies and that feeling when the night comes out.. you have to love it xD great gfx great story good enough soundtrack and lots of stuff to do ingame also great movement mechanics and combat ones too what are you waiting on? go get it,x,2,3,0,0,0,0,0,0,0,0
Eternal Senia,"well, what i can only say, its pretty damn touching... much feels i got.  the storyline is awesome until ending. 10/10 :') the music as far as good.. from the music bring the words much emotional...  about controling, pretty simple..  beside , its free game...    but yeah, its short story, :') (i want a long storyyy :&lt;)    10/10 Feeeeeeeeeels :')",x,3,0,0,3,0,0,0,0,0,0
Farm Frenzy: Hurricane Season,"Farm Frenzy: Hurricane Season is a casual game from Buka Entertainment/Alawar. The game bears the Buka trademark cute childrens story book graphics. As is characteristic of nearly all games from this publisher the game is family friendly and well suited for younger children, but will appeal to casual game fans of all ages.  The graphics are full HD and are both cute and well animated. The artstyle is colourful and pleasing to look at.  The sound is contextual with pleasant samples. Music is sequenced sound loops in a pseudo country style arangement which is pleasing to listen to. There appears to be a single in-game track repeated during game play stages which gets a bit repetitive. The repetition is broken to an extent by different tracks for the menu and pre-game instructions.  The player is tasked with purchasing chickens, collecting eggs, processing the eggs to make powder eggs, processing the powder eggs to make pasta and also accumulating funds. Storage facilities can be upgraded as can manufacturing facilities. Cats and dogs can be hired to help capture ferrets and bears which can be sold at the market. As storage becomes full goods need to be transported to the market for sale.  The style of play is arcade action with puzzle solving and resource management aspects. There are rewards for completing level completion criteria within certain time constraints.  The game is fun to play and it can be quite challenging completing stages within the required time.  The game size is small which should be a relief to those with limited storage capacity on their compter or laptop.  To summarise, a fun family friendly game with really cute graphics and good re-play value for those who like casual games.  7.8 / 10",x,0,0,0,0,3,0,0,3,0,0
Five Nights at Freddy's,"Amazing game! To those who like horror and havent played FNAF, bring a extra set of pants! The game mechanics are unique for all of the different games, and its worth the $5. Even when you have beat the game, there are countless easter eggs to find, and jumpscares to see. Overall, worth the money, will scare your socks of, and will thrill for weeks. To those stuck on 20/20/20/20 mode, no its not impossibe. Markiplier did it in 7 hours. :P",x,0,3,0,0,0,0,0,0,0,0
Grim Dawn,This is by far the BEST ARPG game out there! I've had this game for 5days now and I can't stop playing it. In that time I think I've slept maybe 8hrs. Rest of the time im playing this HIGHLY addictive game. Grim Dawn is the game I wanted to play 30yrs ago. Thank you Devs for giving my gaming life meaning again! You are the best. I would give this game a 10/10 stars. :),x,0,0,3,0,0,0,0,0,0,0
Hotline Miami,"Brutal and ugly yet beatiful. Excessively good and interesting gameplay, climatic music, a lot of blood...",x,2,2,0,0,0,0,0,0,0,0
Iesabel,"Multiplayer doesn't work. That by itself since it is suppose to be a co-op/multiplayer game reduces its value.  As a single player again, it is mind numbing fun. And I continue to play in single player mode. I am not holding my breath that they are going to get the multiplayer fixed because it seems that the publisher is aware of this and hasn't moved to repair this for some months.  So, if you find this for less than $5.00 and desire a single player game that is a 7/10 with a rough story and poor targetting however you can develop an OP character by level 15, than go for it.",x,0,0,0,0,2,0,0,0,0,0
Just Cause 2: Multiplayer Mod,"Simply Amazing.  This game is very fun and I would recommend the game to anyone, I thought normal Just Cause 2 was fun but this game takes it to an entire new level, the game can be very serious or just plain fun, you never know whats going to happen in the game or what people may do, so theres always something new to enjoy!  And the next best thing, nearly all the time the game will be lag free (depending on your ISP and PC spects) with even over 200 or even 500 players on a server!  This is a must buy, hands down.",x,0,0,0,0,0,3,0,0,0,0
Left 4 Dead 2,"This game is a great game. It has high replay value and a great and challenging survival mode. Its multiplayer is unique and has a great coop, it looks good and has amazing explosions. The only downside its not a realistic zombie game like other Zombie survial game, but there are mods that will make it a true zombie game.",x,0,1,2,0,0,3,0,3,0,0
Mathoria: It All Adds Up,"I'll play Devil's Advocate since it seems like only one other reviewer actually bothered to play this game all the way through.  Mathoria: It All Adds Up is a RPG-Maker game inspired by Pokemon with a combat system where the player must answer simple math questions in order to defeat opponents/obtain items.  The math aspect isn't particularly interesting (though it probably helps that my mental math skills are terrible), but anyone who rates this game negatively on the basis of 'it's teaching me math and too simple for me' likely isn't the intended demographic. This game is for parents who want to spend time together while teaching their kids. In that respect, this game does well. After playing through it, I'd say that if I had a kid I probably would do just that.   That being said, a few aspects of it didn't quite feel right for a children's game. The plot was much too deep for a children's story, especially the ending. Not only this, but I feel like a child 10 or under would have trouble with some of the words in the game as well (such as Vegabond). The story didn't even need to be as intricate as it was - most children beneath the age of 10 are usually willing to forego most plots in exchange for gameplay, so having a compelling story isn't too big a requirement.  There were also a few moments, such as someone saying '♥♥♥♥♥♥ off', that didn't sit well with me for a children's game. The rest of the game is good, innocent fun and there were actually a few sections I found myself genuinely enjoying, such as the minotaur puzzles and some of the villager interactions.  The controls are definitely clunky to begin with but you get used to them in time. As another reviewer mentioned, having to press Enter to enable the answer prompt and removing the question from the screen, as well as having a timer on the question itself (which the game claims makes you answer when it runs out, but in reality fails you if you don't), feels like a bad design choice. Especially when learning math on an easy difficulty, timing the player feels too difficult and forcing them to remember the question can easily be too complicated.   The game also focuses solely on addition and not any of the other modifiers like subtraction, division or multiplication, even on higher difficulties. I suppose it makes sense for younger children, but adding this as higher-level option would extend your demographic in a fitting enough way.  The delay between the answer box popping up and when you can type feels too short as well, causing me to mistype whenever I typed too fast, but somehow I don't see that being a problem for children who may type more slowly.   An options screen would be nice, however I find I didn't have much of a problem playing at a fixed resolution, and something tells me a child wouldn't mind it all that much either and possibly wouldn't even notice.  Visually the game uses a lot of RPG maker assets, which is fine since I feel like most children won't mind much unless they've played an RPG Maker game before. What looked like custom assets, however, stuck out like a sore thumb, such as a certain type of house and the ship at the end. Music felt very RPG maker-y and I hardly noticed it (which is a good thing) except for the credits/title music that felt far too hard rock.  As a game designer myself, here's my two cents: Dumb it down more. Even if you're targeting it towards parents and children, parents won't mind playing a more child-like game if their child is playing it with them. Your Pokemon references were enough to appeal to the older side of me, but most kids would be left behind by much of the game's design. This applies to controls as well - I know kids aren't stupid when it comes to controls, but an unintuitive interface could interfere with a child's enjoyment who might get bored easier than an adult. It's doubly bad if gamers are complaining about it!   All that being said, this is a student project targeted to children, so coming out of it those are my only notes. I got much more into it than I expected to, it just needs some tweaking to actually feel like a final product. At this stage I'd liken it to a prototype - one that's just about solid enough to play with a child.",x,0,0,0,0,1,0,0,0,0,0
MechWarrior Online,"There are Mechwarrior fans, and there are Battletech fans. If you are looking for a game that that is like Mechwarrior 4... this game is not that. You probably won't even like it.   If you are fundamentally incapable of playing on an impromptu team... you will not like it.   If you are not capable of ever adjusting tactics to new situations and the strengths/weaknesses of other random players... you will not like it.   If you think of yourself as being an invincible Rambo who should, through your own sheer awesomeness and force of will, be able to carry a team single-handlely, or at least get a rush of endorphins at how super-duper-awesome you are (i.e. you throw a tantrum every time you are humbled)... you will absolutely hate this game.   This game is not CounterStrike. This game is not Call of duty. This game is not a hum-dee-dum casual game like World of [Whatever].   This game is difficult. You will lose. A lot. You will play against people much better than you while on a team much worse than you. And that's tough, but life isn't fair. You want grittiness? That's it. You want challenge? That's it. You will grind. You must grind. And you will get batter for it. You will be frustrated sometimes. Good. That makes the next victory all the sweeter.   And for all of those things I listed above, this game is totally awesome.   There are plenty of whining people who give this game negative reviews. I strongly suggest you read them and evaluate if that sounds like the kind of stuff you would complain about. But if you see negative reviews about the 'poisonous' community, consider that the reviewer is probably the griefer who hogs up the battle comms with that stuff during a match and how obnoxious that is. If you see a review complaining about the mere existence of 'support' mechs... consider how that person must react to being on a team. If you see reviews that say 'X weapon is the best and Y weapon is the worst', and especially when you see that from different people about literally every combination of weapons in the game, consider how knowledgable these people must actually be about the system they are complaining about.   And ignore them all.   Try the game. If you don't like it; well, it was free and you can come back here to complain.   But, on the other hand... you might just find it to be the best damned real-time approach to BattleTech that has ever been realized.",x,0,0,0,3,0,0,0,3,0,0
